"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","orig.id"
"1",2013,8,19,1342,1345,-3,1629,1645,-16,"AA",117,"N327AA","JFK","LAX",318,2475,13,45,2013-08-19 13:00:00,"10453"
"2",2013,4,3,858,900,-2,1221,1225,-4,"AA",1,"N338AA","JFK","LAX",342,2475,9,0,2013-04-03 09:00:00,"5641"
"3",2013,3,29,727,730,-3,1020,1100,-40,"AA",33,"N327AA","JFK","LAX",327,2475,7,30,2013-03-29 07:00:00,"5485"
"4",2013,8,15,1046,1049,-3,1331,1330,1,"UA",487,"N567UA","EWR","LAX",305,2454,10,49,2013-08-15 10:00:00,"10311"
"5",2013,12,30,1932,1928,4,2228,2302,-34,"UA",1526,"N24706","EWR","LAX",330,2454,19,28,2013-12-30 19:00:00,"3839"
"6",2013,4,23,1200,1200,0,1510,1505,5,"AA",3,"N328AA","JFK","LAX",340,2475,12,0,2013-04-23 12:00:00,"6337"
"7",2013,1,5,1539,1545,-6,1854,1910,-16,"AA",133,"N332AA","JFK","LAX",340,2475,15,45,2013-01-05 15:00:00,"131"
"8",2013,7,3,1926,1910,16,2220,2206,14,"UA",233,"N580UA","EWR","LAX",297,2454,19,10,2013-07-03 19:00:00,"8827"
"9",2013,3,7,1319,1320,-1,1620,1628,-8,"UA",1054,"N12116","EWR","LAX",341,2454,13,20,2013-03-07 13:00:00,"4849"
"10",2013,12,12,1724,1545,99,2030,1920,70,"AA",133,"N328AA","JFK","LAX",338,2475,15,45,2013-12-12 15:00:00,"3262"
"11",2013,1,24,1505,1506,-1,1823,1819,4,"UA",1600,"N14120","EWR","LAX",353,2454,15,6,2013-01-24 15:00:00,"666"
"12",2013,9,21,1330,1330,0,1622,1625,-3,"UA",1199,"N14106","EWR","LAX",312,2454,13,30,2013-09-21 13:00:00,"11589"
"13",2013,10,19,823,830,-7,1153,1130,23,"UA",443,"N510UA","JFK","LAX",333,2475,8,30,2013-10-19 08:00:00,"1477"
"14",2013,5,13,1636,1545,51,1904,1910,-6,"AA",133,"N320AA","JFK","LAX",299,2475,15,45,2013-05-13 15:00:00,"7042"
"15",2013,10,17,621,630,-9,916,922,-6,"UA",797,"N597UA","JFK","LAX",325,2475,6,30,2013-10-17 06:00:00,"1404"
"16",2013,10,16,2057,2100,-3,46,20,26,"DL",427,"N195DN","JFK","LAX",346,2475,21,0,2013-10-16 21:00:00,"1402"
"17",2013,9,23,1323,1325,-2,1618,1615,3,"UA",1054,"N41135","EWR","LAX",328,2454,13,25,2013-09-23 13:00:00,"11654"
"18",2013,5,13,1125,1125,0,1406,1427,-21,"UA",703,"N560UA","JFK","LAX",310,2475,11,25,2013-05-13 11:00:00,"7032"
"19",2013,7,29,902,900,2,1146,1156,-10,"DL",120,"N723TW","JFK","LAX",323,2475,9,0,2013-07-29 09:00:00,"9700"
"20",2013,1,14,2128,2135,-7,38,50,-12,"AA",185,"N327AA","JFK","LAX",338,2475,21,35,2013-01-14 21:00:00,"395"
"21",2013,3,26,1638,1645,-7,2004,2005,-1,"AA",181,"N328AA","JFK","LAX",347,2475,16,45,2013-03-26 16:00:00,"5412"
"22",2013,8,17,1533,1529,4,1803,1823,-20,"UA",1600,"N33132","EWR","LAX",314,2454,15,29,2013-08-17 15:00:00,"10391"
"23",2013,2,7,705,705,0,1012,1018,-6,"UA",298,"N564UA","EWR","LAX",340,2454,7,5,2013-02-07 07:00:00,"4045"
"24",2013,8,28,1712,1630,42,2017,1940,37,"AA",181,"N323AA","JFK","LAX",311,2475,16,30,2013-08-28 16:00:00,"10782"
"25",2013,6,11,1024,1030,-6,1301,1340,-39,"AA",19,"N320AA","JFK","LAX",317,2475,10,30,2013-06-11 10:00:00,"8033"
"26",2013,12,11,935,900,35,1254,1227,27,"DL",422,"N710TW","JFK","LAX",344,2475,9,0,2013-12-11 09:00:00,"3211"
"27",2013,8,31,1117,1125,-8,1414,1425,-11,"UA",771,"N589UA","JFK","LAX",320,2475,11,25,2013-08-31 11:00:00,"10877"
"28",2013,5,18,727,730,-3,1007,1050,-43,"AA",33,"N324AA","JFK","LAX",310,2475,7,30,2013-05-18 07:00:00,"7204"
"29",2013,4,4,837,840,-3,1110,1150,-40,"UA",443,"N508UA","JFK","LAX",294,2475,8,40,2013-04-04 08:00:00,"5674"
"30",2013,6,1,554,600,-6,851,908,-17,"UA",1159,"N33132","JFK","LAX",330,2475,6,0,2013-06-01 06:00:00,"7685"
"31",2013,5,20,1013,1009,4,1243,1308,-25,"UA",700,"N559UA","EWR","LAX",308,2454,10,9,2013-05-20 10:00:00,"7275"
"32",2013,8,6,1656,1700,-4,2007,2018,-11,"DL",1163,"N727TW","JFK","LAX",329,2475,17,0,2013-08-06 17:00:00,"10001"
"33",2013,10,27,2034,2001,33,2340,2314,26,"UA",1224,"N75425","EWR","LAX",330,2454,20,1,2013-10-27 20:00:00,"1762"
"34",2013,8,21,627,630,-3,909,923,-14,"UA",236,"N588UA","JFK","LAX",313,2475,6,30,2013-08-21 06:00:00,"10512"
"35",2013,12,4,1458,1445,13,1840,1809,31,"UA",841,"N505UA","JFK","LAX",367,2475,14,45,2013-12-04 14:00:00,"2990"
"36",2013,4,13,1759,1743,16,2103,2103,0,"UA",1165,"N57862","EWR","LAX",338,2454,17,43,2013-04-13 17:00:00,"6004"
"37",2013,10,22,1027,1030,-3,1317,1325,-8,"AA",19,"N329AA","JFK","LAX",325,2475,10,30,2013-10-22 10:00:00,"1578"
"38",2013,10,21,1550,1530,20,1850,1853,-3,"DL",424,"N194DN","JFK","LAX",319,2475,15,30,2013-10-21 15:00:00,"1556"
"39",2013,9,23,558,600,-2,849,901,-12,"UA",1439,"N75436","EWR","LAX",319,2454,6,0,2013-09-23 06:00:00,"11638"
"40",2013,3,6,835,840,-5,1137,1150,-13,"UA",443,"N505UA","JFK","LAX",335,2475,8,40,2013-03-06 08:00:00,"4812"
"41",2013,11,29,1644,1645,-1,2003,2006,-3,"DL",477,"N199DN","JFK","LAX",354,2475,16,45,2013-11-29 16:00:00,"2832"
"42",2013,8,2,1536,1520,16,1819,1814,5,"UA",1600,"N12125","EWR","LAX",323,2454,15,20,2013-08-02 15:00:00,"9861"
"43",2013,10,1,1627,1630,-3,1906,1940,-34,"AA",181,"N335AA","JFK","LAX",314,2475,16,30,2013-10-01 16:00:00,"898"
"44",2013,11,16,1509,1459,10,1819,1819,0,"UA",1600,"N41140","EWR","LAX",346,2454,14,59,2013-11-16 14:00:00,"2422"
"45",2013,7,26,911,915,-4,1215,1210,5,"AA",1,"N324AA","JFK","LAX",320,2475,9,15,2013-07-26 09:00:00,"9603"
"46",2013,7,12,1542,1545,-3,1925,1900,25,"AA",133,"N328AA","JFK","LAX",298,2475,15,45,2013-07-12 15:00:00,"9121"
"47",2013,2,18,900,816,44,1155,1135,20,"UA",1223,"N75858","EWR","LAX",329,2454,8,16,2013-02-18 08:00:00,"4355"
"48",2013,4,10,1835,1755,40,2155,2103,52,"UA",535,"N525UA","JFK","LAX",339,2475,17,55,2013-04-10 17:00:00,"5904"
"49",2013,5,20,941,847,54,1218,1150,28,"UA",1600,"N75851","EWR","LAX",304,2454,8,47,2013-05-20 08:00:00,"7274"
"50",2013,5,12,2034,2025,9,2315,2340,-25,"UA",771,"N596UA","JFK","LAX",294,2475,20,25,2013-05-12 20:00:00,"7015"
"51",2013,10,2,1322,1325,-3,1610,1623,-13,"UA",1054,"N67134","EWR","LAX",327,2454,13,25,2013-10-02 13:00:00,"923"
"52",2013,2,13,841,840,1,1159,1156,3,"UA",250,"N525UA","JFK","LAX",336,2475,8,40,2013-02-13 08:00:00,"4215"
"53",2013,1,21,2147,2135,12,112,50,22,"AA",185,"N319AA","JFK","LAX",339,2475,21,35,2013-01-21 21:00:00,"592"
"54",2013,4,14,1830,1823,7,2151,2145,6,"UA",665,"N539UA","EWR","LAX",340,2454,18,23,2013-04-14 18:00:00,"6035"
"55",2013,4,10,617,600,17,918,915,3,"UA",32,"N17133","JFK","LAX",333,2475,6,0,2013-04-10 06:00:00,"5877"
"56",2013,11,22,724,730,-6,1041,1050,-9,"AA",33,"N335AA","JFK","LAX",350,2475,7,30,2013-11-22 07:00:00,"2607"
"57",2013,2,22,1459,1500,-1,1815,1837,-22,"DL",2344,"N718TW","JFK","LAX",341,2475,15,0,2013-02-22 15:00:00,"4479"
"58",2013,8,11,1447,1451,-4,1817,1750,27,"UA",841,"N597UA","JFK","LAX",349,2475,14,51,2013-08-11 14:00:00,"10169"
"59",2013,6,4,1826,1825,1,2138,2150,-12,"UA",346,"N468UA","EWR","LAX",331,2454,18,25,2013-06-04 18:00:00,"7809"
"60",2013,7,29,1448,1449,-1,1744,1748,-4,"UA",841,"N596UA","JFK","LAX",321,2475,14,49,2013-07-29 14:00:00,"9710"
"61",2013,9,2,1337,1345,-8,1628,1650,-22,"AA",117,"N319AA","JFK","LAX",314,2475,13,45,2013-09-02 13:00:00,"10942"
"62",2013,4,24,723,730,-7,1115,1050,25,"AA",33,"N335AA","JFK","LAX",364,2475,7,30,2013-04-24 07:00:00,"6362"
"63",2013,8,14,727,730,-3,1017,1025,-8,"AA",33,"N329AA","JFK","LAX",315,2475,7,30,2013-08-14 07:00:00,"10266"
"64",2013,5,19,2128,2025,63,58,2340,78,"UA",771,"N518UA","JFK","LAX",328,2475,20,25,2013-05-19 20:00:00,"7261"
"65",2013,12,13,1443,1430,13,1735,1754,-19,"UA",1493,"N33286","EWR","LAX",334,2454,14,30,2013-12-13 14:00:00,"3290"
"66",2013,7,12,1816,1815,1,2208,2135,33,"DL",17,"N196DN","JFK","LAX",303,2475,18,15,2013-07-12 18:00:00,"9126"
"67",2013,4,25,1439,1445,-6,1817,1819,-2,"DL",963,"N711ZX","JFK","LAX",347,2475,14,45,2013-04-25 14:00:00,"6412"
"68",2013,9,17,859,900,-1,1134,1204,-30,"DL",120,"N711ZX","JFK","LAX",315,2475,9,0,2013-09-17 09:00:00,"11442"
